"state_name","state_abbrev","io_sector","employment","total_wages","avg_wage"
"Vermont","VT","713",3121,86933530,27854.3832105095
"Vermont","VT","721",10718,413048820,38537.8634073521
"Vermont","VT","722",19439,527624817,27142.5905139153
"Virginia","VA","711AS",13719,1028074246,74937.9871710766
"Virginia","VA","713",50889,1229220271,24154.9307512429
"Virginia","VA","721",40985,1452440209,35438.3361961693
"Virginia","VA","722",303093,7845803726,25885.7965244991
"Washington","WA","711AS",15299,1256684966,82141.641022289
"Washington","WA","713",38601,1123806577,29113.405792596
"Washington","WA","721",33068,1349140844,40798.9852425305
"Washington","WA","722",250218,7849235208,31369.5865525262
"West Virginia","WV","711AS",1013,29196313,28821.631786772
"West Virginia","WV","713",7735,158882483,20540.7217840983
"West Virginia","WV","721",10215,323736054,31692.2226138032
"West Virginia","WV","722",52643,1090899157,20722.5871815816
"Wisconsin","WI","711AS",12743,1039697192,81589.6721337205
"Wisconsin","WI","713",32435,671493794,20702.7530137197
"Wisconsin","WI","721",30070,847114196,28171.4065846358
"Wisconsin","WI","722",206643,4229106516,20465.7622856811
"Wyoming","WY","711AS",903,33372373,36957.2236987818
"Wyoming","WY","713",3158,85560680,27093.3122229259
"Wyoming","WY","721",12160,431967366,35523.6320723684
"Wyoming","WY","722",22022,498917000,22655.390064481
